Plate,Repeat,Well,Type,Time,Fluorescein (0.1s) (Counts)
1,1,A01,M,00:00:15.42,74999
1,2,A01,M,00:03:20.67,74821
1,3,A01,M,00:06:25.96,74885
1,4,A01,M,00:09:31.22,73496
1,5,A01,M,00:12:36.54,72493
1,1,A02,M,00:00:15.78,76166
1,2,A02,M,00:03:21.03,75625
1,3,A02,M,00:06:26.33,75892
1,4,A02,M,00:09:31.58,74873
1,5,A02,M,00:12:36.91,74880
1,1,A03,M,00:00:16.15,76828
1,2,A03,M,00:03:21.40,76005
1,3,A03,M,00:06:26.70,75944
1,4,A03,M,00:09:31.95,75625
1,5,A03,M,00:12:37.28,75208
1,1,A04,M,00:00:16.52,77209
1,2,A04,M,00:03:21.77,76534
1,3,A04,M,00:06:27.07,76309
1,4,A04,M,00:09:32.32,75995
1,5,A04,M,00:12:37.65,75916
1,1,A05,M,00:00:16.89,76442
1,2,A05,M,00:03:22.14,76453
1,3,A05,M,00:06:27.44,75930
1,4,A05,M,00:09:32.69,75477
1,5,A05,M,00:12:38.02,75133
1,1,A06,M,00:00:17.26,77542
1,2,A06,M,00:03:22.54,76323
1,3,A06,M,00:06:27.81,76845
1,4,A06,M,00:09:33.06,76798
1,5,A06,M,00:12:38.39,75926
1,1,A07,M,00:00:17.63,76518
1,2,A07,M,00:03:22.91,75883
1,3,A07,M,00:06:28.18,76066
1,4,A07,M,00:09:33.43,75624
1,5,A07,M,00:12:38.76,74893
1,1,A08,M,00:00:18.00,77161
1,2,A08,M,00:03:23.28,76988
1,3,A08,M,00:06:28.55,76653
1,4,A08,M,00:09:33.80,76158
1,5,A08,M,00:12:39.13,75928
1,1,A09,M,00:00:18.37,76223
1,2,A09,M,00:03:23.65,76812
1,3,A09,M,00:06:28.92,76151
1,4,A09,M,00:09:34.17,76055
1,5,A09,M,00:12:39.50,75673
1,1,A10,M,00:00:18.75,77236
1,2,A10,M,00:03:24.02,76848
1,3,A10,M,00:06:29.29,76375
1,4,A10,M,00:09:34.54,75807
1,5,A10,M,00:12:39.87,75793
1,1,A11,M,00:00:19.11,77192
1,2,A11,M,00:03:24.39,76763
1,3,A11,M,00:06:29.66,77033
1,4,A11,M,00:09:34.91,76210
1,5,A11,M,00:12:40.24,76544
1,1,A12,M,00:00:19.48,77307
1,2,A12,M,00:03:24.76,77223
1,3,A12,M,00:06:30.03,76894
1,4,A12,M,00:09:35.28,76705
1,5,A12,M,00:12:40.61,76574
1,1,A13,M,00:00:19.85,77064
