Plate,Repeat,Well,Type,Time,ANTS bottom (Counts)
1,9,B02,M,00:10:11.60,257462
1,10,B02,M,00:11:24.75,258343
1,1,B03,M,00:00:26.81,260433
1,2,B03,M,00:01:39.96,259172
1,3,B03,M,00:02:53.12,258851
1,4,B03,M,00:04:06.29,258394
1,5,B03,M,00:05:19.44,258733
1,6,B03,M,00:06:32.60,257530
1,7,B03,M,00:07:45.77,257842
1,8,B03,M,00:08:58.96,257667
1,9,B03,M,00:10:12.11,257837
1,10,B03,M,00:11:25.27,258063
1,1,B04,M,00:00:27.32,260553
1,2,B04,M,00:01:40.48,258740
1,3,B04,M,00:02:53.64,259983
1,4,B04,M,00:04:06.80,259463
1,5,B04,M,00:05:19.96,257896
1,6,B04,M,00:06:33.12,258036
1,7,B04,M,00:07:46.28,257651
1,8,B04,M,00:08:59.48,258185
1,9,B04,M,00:10:12.63,258481
1,10,B04,M,00:11:25.78,259018
1,1,B05,M,00:00:27.84,257057
1,2,B05,M,00:01:40.99,255707
1,3,B05,M,00:02:54.15,255716
1,4,B05,M,00:04:07.32,255611
1,5,B05,M,00:05:20.47,255671
1,6,B05,M,00:06:33.63,255871
1,7,B05,M,00:07:46.80,255167
1,8,B05,M,00:08:59.99,256158
1,9,B05,M,00:10:13.14,255940
1,10,B05,M,00:11:26.30,256121
1,1,B06,M,00:00:28.35,258999
1,2,B06,M,00:01:41.51,256773
1,3,B06,M,00:02:54.67,256467
1,4,B06,M,00:04:07.83,256058
1,5,B06,M,00:05:20.99,256077
1,6,B06,M,00:06:34.15,254834
1,7,B06,M,00:07:47.31,256376
1,8,B06,M,00:09:00.50,256085
1,9,B06,M,00:10:13.66,255346
1,10,B06,M,00:11:26.81,255736
1,1,B07,M,00:00:28.87,258782
1,2,B07,M,00:01:42.02,257441
1,3,B07,M,00:02:55.18,257149
1,4,B07,M,00:04:08.35,256029
1,5,B07,M,00:05:21.50,256381
1,6,B07,M,00:06:34.66,256282
1,7,B07,M,00:07:47.83,257186
1,8,B07,M,00:09:01.02,256773
1,9,B07,M,00:10:14.17,256557
1,10,B07,M,00:11:27.33,256805
1,1,B08,M,00:00:29.38,260289
1,2,B08,M,00:01:42.54,258367
1,3,B08,M,00:02:55.70,258096
1,4,B08,M,00:04:08.86,258074
1,5,B08,M,00:05:22.02,258128
1,6,B08,M,00:06:35.18,258292
1,7,B08,M,00:07:48.34,258563
1,8,B08,M,00:09:01.53,257738
1,9,B08,M,00:10:14.69,257825
1,10,B08,M,00:11:27.84,257751
1,1,B09,M,00:00:29.90,259185
1,2,B09,M,00:01:43.05,258132
1,3,B09,M,00:02:56.21,258598
1,4,B09,M,00:04:09.38,258484
1,5,B09,M,00:05:22.53,257925
1,6,B09,M,00:06:35.69,257851
1,7,B09,M,00:07:48.86,257604
1,8,B09,M,00:09:02.05,257946
1,9,B09,M,00:10:15.20,258817
1,10,B09,M,00:11:28.36,258304
1,1,B10,M,00:00:30.41,258816
1,2,B10,M,00:01:43.57,258181
1,3,B10,M,00:02:56.73,257737
1,4,B10,M,00:04:09.89,259153
1,5,B10,M,00:05:23.05,257694
1,6,B10,M,00:06:36.21,258022
1,7,B10,M,00:07:49.37,257297
1,8,B10,M,00:09:02.56,257721
1,9,B10,M,00:10:15.72,257435
1,10,B10,M,00:11:28.87,258298
1,1,B11,M,00:00:30.93,260665
1,2,B11,M,00:01:44.08,259652
1,3,B11,M,00:02:57.24,259950
1,4,B11,M,00:04:10.41,260010
1,5,B11,M,00:05:23.56,259189
1,6,B11,M,00:06:36.72,259381
1,7,B11,M,00:07:49.89,257856
1,8,B11,M,00:09:03.08,259587
