Plate,Repeat,Well,Type,Time,ANTS bottom (Counts)
1,9,B02,M,00:10:07.63,258178
1,10,B02,M,00:11:20.81,256862
1,1,B03,M,00:00:22.84,245983
1,2,B03,M,00:01:36.00,245487
1,3,B03,M,00:02:49.15,245507
1,4,B03,M,00:04:02.31,244008
1,5,B03,M,00:05:15.49,244027
1,6,B03,M,00:06:28.65,244800
1,7,B03,M,00:07:41.82,246053
1,8,B03,M,00:08:54.98,245619
1,9,B03,M,00:10:08.14,245359
1,10,B03,M,00:11:21.33,244923
1,1,B04,M,00:00:23.36,256174
1,2,B04,M,00:01:36.52,255109
1,3,B04,M,00:02:49.67,254586
1,4,B04,M,00:04:02.83,255293
1,5,B04,M,00:05:16.01,255188
1,6,B04,M,00:06:29.16,255705
1,7,B04,M,00:07:42.34,254891
1,8,B04,M,00:08:55.50,254999
1,9,B04,M,00:10:08.66,255569
1,10,B04,M,00:11:21.84,255124
1,1,B05,M,00:00:23.87,255776
1,2,B05,M,00:01:37.03,255150
1,3,B05,M,00:02:50.18,254887
1,4,B05,M,00:04:03.34,254692
1,5,B05,M,00:05:16.52,255226
1,6,B05,M,00:06:29.68,255249
1,7,B05,M,00:07:42.85,255119
1,8,B05,M,00:08:56.01,254483
1,9,B05,M,00:10:09.17,255019
1,10,B05,M,00:11:22.36,255055
1,1,B06,M,00:00:24.39,254288
1,2,B06,M,00:01:37.55,253279
1,3,B06,M,00:02:50.70,253753
1,4,B06,M,00:04:03.86,253751
1,5,B06,M,00:05:17.04,252792
1,6,B06,M,00:06:30.20,253840
1,7,B06,M,00:07:43.37,253504
1,8,B06,M,00:08:56.53,253842
1,9,B06,M,00:10:09.69,255329
1,10,B06,M,00:11:22.87,253529
1,1,B07,M,00:00:24.90,254798
1,2,B07,M,00:01:38.06,254221
1,3,B07,M,00:02:51.21,253859
1,4,B07,M,00:04:04.37,253276
1,5,B07,M,00:05:17.55,253905
1,6,B07,M,00:06:30.71,254128
1,7,B07,M,00:07:43.88,254765
1,8,B07,M,00:08:57.04,253693
1,9,B07,M,00:10:10.20,255573
1,10,B07,M,00:11:23.39,254411
1,1,B08,M,00:00:25.42,255790
1,2,B08,M,00:01:38.58,254812
1,3,B08,M,00:02:51.73,254042
1,4,B08,M,00:04:04.89,254023
1,5,B08,M,00:05:18.07,254672
1,6,B08,M,00:06:31.22,254428
1,7,B08,M,00:07:44.40,255044
1,8,B08,M,00:08:57.56,254511
1,9,B08,M,00:10:10.72,255132
1,10,B08,M,00:11:23.90,254769
1,1,B09,M,00:00:25.93,254874
1,2,B09,M,00:01:39.09,254754
1,3,B09,M,00:02:52.24,253360
1,4,B09,M,00:04:05.40,253676
1,5,B09,M,00:05:18.58,253374
1,6,B09,M,00:06:31.74,253753
1,7,B09,M,00:07:44.91,254108
1,8,B09,M,00:08:58.07,254159
1,9,B09,M,00:10:11.23,254754
1,10,B09,M,00:11:24.42,253737
1,1,B10,M,00:00:26.45,258158
1,2,B10,M,00:01:39.61,255953
1,3,B10,M,00:02:52.76,255247
1,4,B10,M,00:04:05.92,255934
1,5,B10,M,00:05:19.10,256151
