Plate,Repeat,Well,Type,Time,Fluorescein High Count (0.1s) (RFU)
1,16,A07,M,00:07:10.33,68999
1,17,A07,M,00:07:38.11,69569
1,18,A07,M,00:08:05.93,70255
1,19,A07,M,00:08:33.71,70472
1,20,A07,M,00:09:01.50,70511
1,1,A08,M,00:00:13.95,34421
1,2,A08,M,00:00:41.74,35032
1,3,A08,M,00:01:09.52,35726
1,4,A08,M,00:01:37.31,35150
1,5,A08,M,00:02:05.09,34832
1,6,A08,M,00:02:32.88,34906
1,7,A08,M,00:03:00.69,33645
1,8,A08,M,00:03:28.48,36086
1,9,A08,M,00:03:56.26,34030
1,10,A08,M,00:04:24.05,34296
1,11,A08,M,00:04:51.85,34923
1,12,A08,M,00:05:19.63,34497
1,13,A08,M,00:05:47.41,34996
1,14,A08,M,00:06:15.22,33430
1,15,A08,M,00:06:43.01,35054
1,16,A08,M,00:07:10.79,35417
1,17,A08,M,00:07:38.57,35575
1,18,A08,M,00:08:06.39,33423
1,19,A08,M,00:08:34.18,35211
1,20,A08,M,00:09:01.96,35185
1,1,A09,M,00:00:14.41,24223
1,2,A09,M,00:00:42.21,23575
1,3,A09,M,00:01:09.99,23888
1,4,A09,M,00:01:37.77,24507
1,5,A09,M,00:02:05.56,24076
1,6,A09,M,00:02:33.34,23921
1,7,A09,M,00:03:01.15,23358
1,8,A09,M,00:03:28.95,23569
1,9,A09,M,00:03:56.73,23116
1,10,A09,M,00:04:24.51,24703
1,11,A09,M,00:04:52.31,24219
1,12,A09,M,00:05:20.10,24129
1,13,A09,M,00:05:47.88,24245
1,14,A09,M,00:06:15.69,23677
1,15,A09,M,00:06:43.47,24710
1,16,A09,M,00:07:11.26,23460
1,17,A09,M,00:07:39.04,23435
1,18,A09,M,00:08:06.86,24677
1,19,A09,M,00:08:34.64,23874
1,20,A09,M,00:09:02.43,24099
1,1,A10,M,00:00:14.88,10066
1,2,A10,M,00:00:42.67,10098
1,3,A10,M,00:01:10.45,10413
1,4,A10,M,00:01:38.24,11423
1,5,A10,M,00:02:06.02,10101
1,6,A10,M,00:02:33.81,9774
1,7,A10,M,00:03:01.62,10746
1,8,A10,M,00:03:29.41,10047
1,9,A10,M,00:03:57.19,11007
1,10,A10,M,00:04:24.98,10219
1,11,A10,M,00:04:52.78,9624
1,12,A10,M,00:05:20.56,11042
1,13,A10,M,00:05:48.34,10690
1,14,A10,M,00:06:16.15,10546
1,15,A10,M,00:06:43.94,10918
1,16,A10,M,00:07:11.72,10577
1,17,A10,M,00:07:39.50,9703
1,18,A10,M,00:08:07.32,10616
1,19,A10,M,00:08:35.11,10812
1,20,A10,M,00:09:02.89,11010
1,1,A11,M,00:00:15.34,6111
1,2,A11,M,00:00:43.14,5685
1,3,A11,M,00:01:10.92,5696
1,4,A11,M,00:01:38.70,6170
1,5,A11,M,00:02:06.49,5722
1,6,A11,M,00:02:34.27,5505
1,7,A11,M,00:03:02.08,5649
1,8,A11,M,00:03:29.88,5922
1,9,A11,M,00:03:57.66,5914
1,10,A11,M,00:04:25.44,5981
1,11,A11,M,00:04:53.24,5650
1,12,A11,M,00:05:21.03,5568
1,13,A11,M,00:05:48.81,5879
1,14,A11,M,00:06:16.62,6558
1,15,A11,M,00:06:44.40,5995
1,16,A11,M,00:07:12.19,5611
1,17,A11,M,00:07:39.97,5735
1,18,A11,M,00:08:07.79,6081
1,19,A11,M,00:08:35.57,6107
1,20,A11,M,00:09:03.36,6214
1,1,A12,M,00:00:15.81,5310
1,2,A12,M,00:00:43.60,5431
1,3,A12,M,00:01:11.38,5813
1,4,A12,M,00:01:39.17,4747
1,5,A12,M,00:02:06.95,5168
1,6,A12,M,00:02:34.74,5646
1,7,A12,M,00:03:02.55,4926
1,8,A12,M,00:03:30.34,4902
1,9,A12,M,00:03:58.12,5123
1,10,A12,M,00:04:25.91,5438
1,11,A12,M,00:04:53.71,5005
1,12,A12,M,00:05:21.49,5485
1,13,A12,M,00:05:49.27,4826
1,14,A12,M,00:06:17.08,5219
1,15,A12,M,00:06:44.87,5483
1,16,A12,M,00:07:12.65,4891
1,17,A12,M,00:07:40.44,5176
1,18,A12,M,00:08:08.25,5068
1,19,A12,M,00:08:36.04,5001
1,20,A12,M,00:09:03.82,5048
1,1,B01,M,00:00:18.71,15199379
1,2,B01,M,00:00:46.50,14949753
1,3,B01,M,00:01:14.29,14732207
1,4,B01,M,00:01:42.07,14546346
1,5,B01,M,00:02:09.86,14400929
1,6,B01,M,00:02:37.64,14217001
1,7,B01,M,00:03:05.45,14144296
1,8,B01,M,00:03:33.24,13998188
1,9,B01,M,00:04:01.03,13936811
1,10,B01,M,00:04:28.81,13866108
1,11,B01,M,00:04:56.61,13810748
1,12,B01,M,00:05:24.40,13774167
1,13,B01,M,00:05:52.18,13778657
1,14,B01,M,00:06:19.99,13764247
1,15,B01,M,00:06:47.77,13729136
1,16,B01,M,00:07:15.56,13688733
1,17,B01,M,00:07:43.34,13679376
1,18,B01,M,00:08:11.16,13651737
1,19,B01,M,00:08:38.94,13637024
1,20,B01,M,00:09:06.73,13627091
1,1,B02,M,00:00:19.18,5903606
1,2,B02,M,00:00:46.97,5816756
1,3,B02,M,00:01:14.75,5734806
1,4,B02,M,00:01:42.54,5625218
1,5,B02,M,00:02:10.32,5589693
1,6,B02,M,00:02:38.11,5542083
1,7,B02,M,00:03:05.92,5525970
1,8,B02,M,00:03:33.71,5474942
1,9,B02,M,00:04:01.49,5437001
1,10,B02,M,00:04:29.28,5424930
1,11,B02,M,00:04:57.08,5388736
1,12,B02,M,00:05:24.86,5402433
1,13,B02,M,00:05:52.64,5426841
1,14,B02,M,00:06:20.45,5427371
1,15,B02,M,00:06:48.24,5429040
1,16,B02,M,00:07:16.02,5448832
1,17,B02,M,00:07:43.81,5391564
1,18,B02,M,00:08:11.62,5405157
1,19,B02,M,00:08:39.41,5406882
1,20,B02,M,00:09:07.19,5415575
1,1,B03,M,00:00:19.64,2008867
1,2,B03,M,00:00:47.44,1999861
1,3,B03,M,00:01:15.22,1974659
1,4,B03,M,00:01:43.01,1968823
1,5,B03,M,00:02:10.79,1964244
1,6,B03,M,00:02:38.57,1962305
1,7,B03,M,00:03:06.38,1940300
1,8,B03,M,00:03:34.18,1952003
1,9,B03,M,00:04:01.96,1940667
1,10,B03,M,00:04:29.74,1944405
1,11,B03,M,00:04:57.54,1935821
1,12,B03,M,00:05:25.33,1951794
1,13,B03,M,00:05:53.11,1967810
1,14,B03,M,00:06:20.92,1958645
1,15,B03,M,00:06:48.70,1971734
1,16,B03,M,00:07:16.49,1982757
1,17,B03,M,00:07:44.27,1962881
1,18,B03,M,00:08:12.09,1980811
1,19,B03,M,00:08:39.87,1980229
1,20,B03,M,00:09:07.66,1989662
1,1,B04,M,00:00:20.11,766812
1,2,B04,M,00:00:47.90,761475
1,3,B04,M,00:01:15.68,754344
1,4,B04,M,00:01:43.47,747029
1,5,B04,M,00:02:11.25,750241
1,6,B04,M,00:02:39.04,757491
1,7,B04,M,00:03:06.85,754098
1,8,B04,M,00:03:34.64,748710
1,9,B04,M,00:04:02.42,750844
1,10,B04,M,00:04:30.21,746761
1,11,B04,M,00:04:58.01,750140
1,12,B04,M,00:05:25.79,749592
1,13,B04,M,00:05:53.57,765993
1,14,B04,M,00:06:21.38,766074
1,15,B04,M,00:06:49.17,764921
1,16,B04,M,00:07:16.95,760600
1,17,B04,M,00:07:44.77,761705
1,18,B04,M,00:08:12.55,759569
1,19,B04,M,00:08:40.34,761904
1,20,B04,M,00:09:08.12,759929
1,1,B05,M,00:00:20.57,343339
1,2,B05,M,00:00:48.37,336463
1,3,B05,M,00:01:16.15,334797
1,4,B05,M,00:01:43.94,335022
1,5,B05,M,00:02:11.72,334005
1,6,B05,M,00:02:39.50,333892
1,7,B05,M,00:03:07.31,333794
1,8,B05,M,00:03:35.11,333461
1,9,B05,M,00:04:02.89,331565
1,10,B05,M,00:04:30.67,334563
1,11,B05,M,00:04:58.47,336381
1,12,B05,M,00:05:26.26,336987
1,13,B05,M,00:05:54.04,334917
1,14,B05,M,00:06:21.85,337157
1,15,B05,M,00:06:49.63,336713
1,16,B05,M,00:07:17.42,340634
1,17,B05,M,00:07:45.23,338120
1,18,B05,M,00:08:13.02,341935
1,19,B05,M,00:08:40.80,343929
1,20,B05,M,00:09:08.59,344049
1,1,B06,M,00:00:21.04,144590
1,2,B06,M,00:00:48.83,139335
1,3,B06,M,00:01:16.61,142899
1,4,B06,M,00:01:44.40,141622
1,5,B06,M,00:02:12.18,141104
1,6,B06,M,00:02:39.97,139663
1,7,B06,M,00:03:07.78,142456
1,8,B06,M,00:03:35.57,140889
1,9,B06,M,00:04:03.35,142739
1,10,B06,M,00:04:31.14,144690
1,11,B06,M,00:04:58.94,143822
1,12,B06,M,00:05:26.72,142103
1,13,B06,M,00:05:54.50,145222
1,14,B06,M,00:06:22.31,144036
1,15,B06,M,00:06:50.10,139684
1,16,B06,M,00:07:17.88,146013
1,17,B06,M,00:07:45.70,145428
1,18,B06,M,00:08:13.48,144906
1,19,B06,M,00:08:41.27,143867
1,20,B06,M,00:09:09.05,143836
1,1,B07,M,00:00:21.50,70610
1,2,B07,M,00:00:49.29,70527
1,3,B07,M,00:01:17.08,67362
1,4,B07,M,00:01:44.87,67478
1,5,B07,M,00:02:12.65,67591
1,6,B07,M,00:02:40.43,68018
1,7,B07,M,00:03:08.24,66926
1,8,B07,M,00:03:36.04,67622
1,9,B07,M,00:04:03.82,66500
1,10,B07,M,00:04:31.61,67690
1,11,B07,M,00:04:59.40,67790
1,12,B07,M,00:05:27.19,66993
1,13,B07,M,00:05:54.97,66284
1,14,B07,M,00:06:22.78,67798
1,15,B07,M,00:06:50.56,68507
1,16,B07,M,00:07:18.35,67200
1,17,B07,M,00:07:46.16,68189
1,18,B07,M,00:08:13.95,67873
1,19,B07,M,00:08:41.73,68246
1,20,B07,M,00:09:09.52,68190
1,1,B08,M,00:00:21.97,32637
1,2,B08,M,00:00:49.76,31325
1,3,B08,M,00:01:17.54,31843
1,4,B08,M,00:01:45.33,31056
1,5,B08,M,00:02:13.11,32790
1,6,B08,M,00:02:40.90,33085
1,7,B08,M,00:03:08.71,32711
1,8,B08,M,00:03:36.50,32392
1,9,B08,M,00:04:04.28,32129
1,10,B08,M,00:04:32.07,33779
1,11,B08,M,00:04:59.87,31749
1,12,B08,M,00:05:27.65,33233
1,13,B08,M,00:05:55.43,32637
1,14,B08,M,00:06:23.24,32357
1,15,B08,M,00:06:51.03,31416
1,16,B08,M,00:07:18.81,31805
1,17,B08,M,00:07:46.63,31441
1,18,B08,M,00:08:14.41,33231
1,19,B08,M,00:08:42.20,32173
1,20,B08,M,00:09:09.98,33081
1,1,B09,M,00:00:22.43,23399
1,2,B09,M,00:00:50.22,23943
1,3,B09,M,00:01:18.01,23175
1,4,B09,M,00:01:45.80,23565
1,5,B09,M,00:02:13.58,22954
1,6,B09,M,00:02:41.36,23787
1,7,B09,M,00:03:09.17,22783
1,8,B09,M,00:03:36.97,24126
1,9,B09,M,00:04:04.75,23469
1,10,B09,M,00:04:32.54,22853
1,11,B09,M,00:05:00.33,23430
1,12,B09,M,00:05:28.12,23397
1,13,B09,M,00:05:55.90,24748
1,14,B09,M,00:06:23.71,22982
1,15,B09,M,00:06:51.49,24107
1,16,B09,M,00:07:19.28,23861
1,17,B09,M,00:07:47.09,22967
1,18,B09,M,00:08:14.88,23777
1,19,B09,M,00:08:42.66,24362
1,20,B09,M,00:09:10.45,24521
1,1,B10,M,00:00:22.90,10273
1,2,B10,M,00:00:50.69,11290
1,3,B10,M,00:01:18.47,10200
1,4,B10,M,00:01:46.26,10012
1,5,B10,M,00:02:14.04,10213
1,6,B10,M,00:02:41.83,9654
1,7,B10,M,00:03:09.64,10079
1,8,B10,M,00:03:37.43,10141
1,9,B10,M,00:04:05.21,10087
1,10,B10,M,00:04:33.00,9669
1,11,B10,M,00:05:00.80,10553
1,12,B10,M,00:05:28.58,10475
1,13,B10,M,00:05:56.36,10235
1,14,B10,M,00:06:24.17,10837
1,15,B10,M,00:06:51.96,10992
1,16,B10,M,00:07:19.74,10076
1,17,B10,M,00:07:47.56,10293
1,18,B10,M,00:08:15.34,10271
1,19,B10,M,00:08:43.13,10751
1,20,B10,M,00:09:10.91,10040
1,1,B11,M,00:00:23.36,6253
1,2,B11,M,00:00:51.16,5572
1,3,B11,M,00:01:18.94,6977
1,4,B11,M,00:01:46.73,5829
1,5,B11,M,00:02:14.51,5892
1,6,B11,M,00:02:42.29,5633
1,7,B11,M,00:03:10.10,5831
1,8,B11,M,00:03:37.90,6181
1,9,B11,M,00:04:05.68,6037
1,10,B11,M,00:04:33.47,6380
1,11,B11,M,00:05:01.26,6372
1,12,B11,M,00:05:29.05,6038
1,13,B11,M,00:05:56.83,5556
1,14,B11,M,00:06:24.64,5519
1,15,B11,M,00:06:52.42,6017
1,16,B11,M,00:07:20.21,5576
1,17,B11,M,00:07:48.02,5892
