##BLOCKS= 1          																																																																																																	
Plate:	Plate#1	1.3	TimeFormat	Kinetic	Fluorescence	TRUE	Raw	FALSE	5	140	35				1	515	1	12	96	355	Manual	435			20	High			1	6	None																																																																		
Time(hh:mm:ss)	Temperature(¡C)	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0:00	33.5	28.509	29.718	29.108	29.645	28.928	29.881	30.26	29.45	29.668	29.882	29.062	29.088	103.802	103.863	104.776	104.5	105.592	105.826	105.849	106.385	104.575	104.724	103.255	104.947	92.504	87.157	80.326	75.286	70.191	65.938	61.678	56.644	52.436	48.951	47.415	41.837	91.103	83.949	79.22	72.983	69.901	65.571	61.11	56.715	51.731	47.326	47.443	42.012	99.236	97.677	96.79	91.089	83.521	70.727	60.918	52.922	48.274	44.953	44.234	42.473	103.802	103.863	104.776	104.5	105.592	105.826	105.849	106.385	104.575	104.724	103.255	104.947																								
0:35	33.4	28.762	28.677	29.749	29.339	29.507	29.66	29.347	30.041	29.543	29.805	29.038	29.097	104.387	103.887	103.795	103.986	104.168	107.132	104.554	106.187	104.117	104.968	102.398	103.845	91.716	86.516	79.327	74.39	70.337	65.326	61.305	56.968	52.212	49.992	46.586	41.138	90.501	84.984	79.4	73.683	70.658	65.297	61.523	56.71	51.16	47.803	47.17	41.219	98.528	96.973	95.212	91.085	84.529	71.424	59.62	52.432	47.425	44.278	43.626	41.708	104.387	103.887	103.795	103.986	104.168	107.132	104.554	106.187	104.117	104.968	102.398	103.845																								
1:10	33.3	27.986	28.413	28.647	29.495	28.99	29.053	29.474	29.571	29.317	28.772	29.825	29.287	101.953	102.618	103.411	103.642	103.89	104.32	105.409	104.686	104.381	103.241	102.508	102.117	91.898	85.455	79.925	75.658	68.974	65.582	61.636	56.6	51.819	49.679	46.5	41.255	90.041	83.898	78.182	74.07	69.224	64.829	60.989	56.709	51.171	47.427	47.226	42.305	96.828	95.518	93.97	90.341	82.723	70.875	59.653	51.658	46.725	44.98	43.703	41.697	101.953	102.618	103.411	103.642	103.89	104.32	105.409	104.686	104.381	103.241	102.508	102.117																								
1:45	33.3	28.539	28.582	29.233	29.617	29.51	29.463	29.274	29.901	29.685	29.633	29.565	29.19	104.586	104.185	103.699	104.272	106.029	107.528	106.921	105.503	103.78	105.242	103.529	104.059	92.413	85.451	81.118	75.371	70.152	66.945	61.536	58.044	51.57	48.998	47.296	41.805	89.075	84.845	79.281	74.058	70.755	65.6	62.36	57.547	51.785	47.975	46.796	42.622	98.456	97.942	95.995	92.387	84.016	71.732	60.63	52.945	47.639	45.039	43.54	41.416	104.586	104.185	103.699	104.272	106.029	107.528	106.921	105.503	103.78	105.242	103.529	104.059																								
2:20	33.2	28.458	28.603	29.206	30.121	30.022	29.934	29.878	29.831	29.658	29.704	28.988	28.73	103.992	103.106	103.244	104.355	105.307	104.716	106.116	105.68	104.782	103.611	103.703	104.66	92.081	85.379	79.944	75.2	69.755	65.178	61.33	56.917	51.808	49.182	47.46	41.733	90.993	84.092	79.292	74.579	69.827	64.797	61.184	57.503	51.126	48.676	46.972	42.658	98.1	96.497	94.643	91.655	83.274	71.197	59.502	52.633	47.338	44.112	43.687	42.864	103.992	103.106	103.244	104.355	105.307	104.716	106.116	105.68	104.782	103.611	103.703	104.66																								

~End																																																																																																	
