Plate,Repeat,Well,Type,Time,ANTS (RFU)
1,3,B02,M,00:02:55.88,8211859
1,4,B02,M,00:04:14.39,8207566
1,5,B02,M,00:05:32.91,8087476
1,6,B02,M,00:06:51.41,8172598
1,7,B02,M,00:08:09.90,8198338
1,8,B02,M,00:09:28.39,8086315
1,9,B02,M,00:10:46.87,8002061
1,10,B02,M,00:12:05.36,8264166
1,1,B03,M,00:00:19.47,8345436
1,2,B03,M,00:01:37.96,8308276
1,3,B03,M,00:02:56.45,8111803
1,4,B03,M,00:04:14.96,8220037
1,5,B03,M,00:05:33.48,8070281
1,6,B03,M,00:06:51.98,8293768
1,7,B03,M,00:08:10.47,8191633
1,8,B03,M,00:09:28.96,8128644
1,9,B03,M,00:10:47.44,8305728
1,10,B03,M,00:12:05.93,8096958
1,1,B04,M,00:00:20.04,8294854
1,2,B04,M,00:01:38.53,8352912
1,3,B04,M,00:02:57.02,8218341
1,4,B04,M,00:04:15.53,8259173
1,5,B04,M,00:05:34.05,8249401
1,6,B04,M,00:06:52.55,8217443
1,7,B04,M,00:08:11.04,8274417
1,8,B04,M,00:09:29.52,8095122
1,9,B04,M,00:10:48.01,8336270
1,10,B04,M,00:12:06.50,8220398
1,1,B05,M,00:00:20.61,8395788
1,2,B05,M,00:01:39.10,8161885
1,3,B05,M,00:02:57.59,8168586
1,4,B05,M,00:04:16.10,8245969
1,5,B05,M,00:05:34.62,8238044
1,6,B05,M,00:06:53.12,8266254
1,7,B05,M,00:08:11.61,8237836
1,8,B05,M,00:09:30.10,8226984
1,9,B05,M,00:10:48.58,8219515
1,10,B05,M,00:12:07.07,8208261
1,1,B06,M,00:00:21.18,8414647
1,2,B06,M,00:01:39.67,8202530
1,3,B06,M,00:02:58.16,8266821
1,4,B06,M,00:04:16.67,8342029
1,5,B06,M,00:05:35.19,8309910
1,6,B06,M,00:06:53.69,8251983
1,7,B06,M,00:08:12.18,8137734
1,8,B06,M,00:09:30.66,8304030
1,9,B06,M,00:10:49.15,8183402
1,10,B06,M,00:12:07.64,8359190
1,1,B07,M,00:00:21.75,8326226
1,2,B07,M,00:01:40.24,8370437
1,3,B07,M,00:02:58.72,8244255
1,4,B07,M,00:04:17.24,8176500
1,5,B07,M,00:05:35.76,8171773
1,6,B07,M,00:06:54.26,8162483
1,7,B07,M,00:08:12.75,8303030
1,8,B07,M,00:09:31.24,8372735
1,9,B07,M,00:10:49.72,8193799
1,10,B07,M,00:12:08.21,8189747
1,1,B08,M,00:00:22.32,8425226
1,2,B08,M,00:01:40.81,8262340
1,3,B08,M,00:02:59.30,8215396
1,4,B08,M,00:04:17.81,8300120
1,5,B08,M,00:05:36.33,8225229
1,6,B08,M,00:06:54.83,8259673
1,7,B08,M,00:08:13.32,8271038
